gender,C_api,C_man,E_NEds,E_Bpag,firstDay,lastDay,NEds,NDays,NActDays,NPages,NPcreated,pagesWomen,wikiprojWomen,ns_user,ns_wikipedia,ns_talk,ns_userTalk,ns_content,weightIJ,NIJ
1,1,0,2,3,2008-06-30 19:45:17,2017-09-25 09:25:36,714.0,3375,131.0,276.0,11.0,0,0,75.0,20.0,47.5,11.0,450.0,0.831953524648453,917
1,0,0,1,3,2012-10-08 14:05:21,2013-04-03 01:29:57,113.0,178,19.0,29.0,3.0,0,0,22.0,0.0,2.0,2.0,83.0,0.594368207936839,493
0,0,2,0,2,2010-10-13 09:16:09,2015-07-27 12:18:54,81.0,1749,38.0,34.0,0.0,0,0,33.0,0.0,0.0,0.0,30.0,0.800528377424059,664
0,0,2,0,2,2009-09-26 00:45:51,2012-12-01 22:13:24,85.0,1163,23.0,54.0,0.0,0,0,18.0,0.0,12.0,4.0,49.0,0.800528377424059,664
1,1,2,1,2,2014-02-28 17:19:13,2017-06-21 01:39:15,143.0,1210,50.0,107.0,1.0,1,0,21.0,1.0,0.0,5.0,108.0,1.02771709743701,841
1,1,2,3,1,2012-07-27 10:53:01,2017-09-23 09:55:38,1751.875,1885,349.0,505.875,8.0,1,0,91.0,20.0,47.5,53.5,1317.875,0.661673179614133,477
1,1,2,3,3,2007-03-16 06:38:58,2016-01-20 23:07:08,1751.875,3233,349.0,505.875,33.5,1,0,109.0,20.0,47.5,53.5,1317.875,1.48165413798567,1596
1,0,0,2,2,2007-05-05 23:10:57,2013-09-06 03:30:35,258.0,2317,42.0,37.0,0.0,0,0,11.0,18.0,47.5,33.0,101.0,0.915024129447388,978
0,0,2,2,0,2016-08-25 08:19:47,2017-09-25 09:15:35,346.0,397,92.0,228.0,2.0,0,0,2.0,1.0,7.0,14.0,321.0,1.20440316450483,647
1,1,2,2,1,2014-02-15 00:44:11,2016-09-28 01:48:58,423.0,957,110.0,77.0,4.0,0,0,10.0,5.0,2.0,11.0,395.0,0.982449108801872,752
1,1,2,3,0,2011-09-18 12:03:10,2017-10-01 10:55:13,1751.875,2206,349.0,505.875,25.0,1,0,109.0,20.0,47.5,53.5,1317.875,0.865617488080534,412
1,0,0,1,3,2006-09-30 23:33:56,2016-04-15 10:59:43,117.0,3486,21.0,37.0,17.0,0,0,26.0,0.0,0.0,1.0,83.0,0.594368207936839,493
0,0,2,1,1,2014-02-26 17:34:49,2014-02-27 21:03:22,138.0,2,2.0,92.0,0.0,0,0,4.0,4.0,0.0,1.0,114.0,0.997535302103113,994
0,0,2,2,0,2010-03-18 15:28:01,2015-08-01 01:54:52,339.0,1963,158.0,290.0,2.0,0,0,1.0,0.0,5.0,0.0,219.0,1.20440316450483,647
1,1,0,0,3,2011-05-25 19:07:02,2013-05-03 17:25:30,59.0,710,9.0,6.0,0.0,0,0,21.0,0.0,6.0,21.0,11.0,0.411985187306913,297
0,0,2,0,1,2016-10-20 10:48:32,2017-05-20 15:36:18,72.0,213,13.0,9.0,0.0,0,0,54.0,0.0,3.0,7.0,8.0,1.05714931610548,1074
1,0,0,0,3,2006-09-14 18:54:01,2014-09-19 12:17:17,64.0,2928,19.0,16.0,1.0,0,0,6.0,0.0,5.0,2.0,50.0,0.411985187306913,297
0,0,2,1,0,2016-10-15 10:43:45,2017-09-01 21:39:00,141.0,322,43.0,67.0,12.0,0,0,1.0,1.0,0.0,3.0,136.0,1.29126262950745,974
0,0,2,2,2,2010-06-20 18:53:55,2012-05-15 12:43:59,364.0,696,45.0,58.0,7.0,0,0,25.0,20.0,3.0,50.0,181.0,0.915024129447388,978
0,0,2,0,2,2012-11-25 19:07:42,2012-12-28 15:02:44,73.0,34,15.0,37.0,4.0,0,0,13.0,12.0,3.0,3.0,28.0,0.800528377424059,664
1,0,0,1,3,2009-02-02 19:51:32,2015-05-21 17:59:45,144.0,2300,76.0,87.0,0.0,0,0,2.0,0.0,0.0,1.0,139.0,0.594368207936839,493
0,0,2,2,2,2014-05-31 16:05:12,2014-07-21 16:37:49,230.0,52,13.0,31.0,3.0,0,0,109.0,0.0,5.0,4.0,107.0,0.915024129447388,978
0,0,2,1,2,2016-05-28 14:38:57,2016-08-02 16:10:25,159.0,67,21.0,34.0,3.0,0,0,109.0,2.0,8.0,2.0,38.0,1.02771709743701,841
1,1,0,0,3,2013-04-07 03:49:30,2015-06-10 19:44:52,80.0,795,16.0,40.0,1.0,0,0,24.0,0.0,0.0,0.0,56.0,0.411985187306913,297
0,0,2,3,1,2012-04-07 01:58:38,2017-01-02 11:07:08,1543.0,1732,72.0,189.0,33.5,0,0,17.0,3.0,0.0,14.0,1317.875,0.661673179614133,477
2,2,1,2,1,2010-12-01 02:51:04,2014-01-06 00:50:48,233.0,1133,30.0,169.0,1.0,0,0,5.0,0.0,0.0,1.0,227.0,0.982449108801872,752
1,1,0,1,2,2010-03-07 18:17:42,2015-01-14 03:44:17,105.0,1775,8.0,18.0,0.0,0,0,32.0,0.0,4.0,0.0,59.0,1.02771709743701,841
2,2,2,0,1,2014-08-12 17:21:40,2014-09-01 20:16:08,87.0,21,6.0,4.0,1.0,0,0,7.0,1.0,0.0,1.0,78.0,1.05714931610548,1074
1,0,0,1,1,2003-07-21 18:33:01,2016-03-15 15:54:38,101.0,4622,22.0,29.0,12.0,0,0,2.0,0.0,2.0,0.0,97.0,0.997535302103113,994
1,0,0,0,3,2007-07-13 19:29:28,2017-08-07 02:03:16,69.0,3679,18.0,6.0,1.0,0,0,32.0,0.0,0.0,2.0,34.0,0.411985187306913,297
1,0,0,0,0,2011-11-22 21:34:23,2013-04-18 19:29:31,80.0,514,19.0,22.0,0.0,0,0,3.0,0.0,0.0,0.0,73.0,1.86500803160946,1277
0,0,2,1,0,2006-07-02 03:13:56,2012-12-28 12:51:59,216.0,2372,14.0,87.0,1.0,0,0,2.0,20.0,6.0,4.0,163.0,1.29126262950745,974
0,0,2,3,0,2015-01-13 14:48:16,2016-01-04 21:16:05,1697.0,357,162.0,358.0,11.0,0,0,109.0,7.0,6.0,34.0,1317.875,0.865617488080534,412
2,0,1,2,1,2010-06-06 01:02:07,2012-01-15 22:20:08,244.0,589,70.0,47.0,2.0,0,0,10.0,1.0,47.5,11.0,140.0,0.982449108801872,752
1,0,0,0,0,2007-02-20 19:00:14,2015-10-19 16:23:48,67.0,3164,17.0,35.0,0.0,0,0,3.0,0.0,2.0,4.0,58.0,1.86500803160946,1277
0,0,2,0,1,2008-09-04 10:38:55,2015-08-05 10:24:07,58.0,2527,29.0,26.0,0.0,0,0,2.0,0.0,19.0,3.0,34.0,1.05714931610548,1074
0,0,2,2,2,2007-10-31 22:25:00,2012-08-29 22:20:03,666.0,1765,209.0,68.0,5.0,0,0,10.0,0.0,12.0,30.0,349.0,0.915024129447388,978
1,1,2,1,1,2007-12-06 19:35:57,2016-07-12 20:32:33,146.0,3142,55.0,55.0,1.0,0,0,40.0,0.0,11.0,1.0,94.0,0.997535302103113,994
1,1,2,3,0,2006-03-23 21:53:44,2015-12-31 22:00:48,1594.0,3571,253.0,505.875,8.0,1,0,2.0,20.0,47.5,39.0,1317.875,0.865617488080534,412
1,1,0,0,3,2008-06-25 22:25:09,2017-01-15 19:37:00,88.0,3127,9.0,8.0,4.0,0,0,34.0,0.0,0.0,1.0,53.0,0.411985187306913,297
0,0,2,1,1,2007-07-19 19:30:23,2016-06-26 19:13:12,177.0,3266,72.0,100.0,1.0,0,0,15.0,2.0,21.0,7.0,121.0,0.997535302103113,994
1,1,2,3,2,2011-02-24 18:08:09,2017-09-13 17:31:37,1751.875,2394,349.0,505.875,33.5,1,0,104.0,20.0,47.5,53.5,1317.875,1.00522694513289,817
1,1,2,1,1,2009-03-15 12:03:52,2016-09-12 12:17:54,201.0,2739,46.0,50.0,6.0,1,0,14.0,0.0,3.0,0.0,182.0,0.997535302103113,994
0,0,2,1,0,2013-12-09 20:23:37,2017-07-29 10:46:27,211.0,1329,26.0,23.0,5.0,0,0,28.0,0.0,0.0,0.0,183.0,1.29126262950745,974
0,0,2,3,2,2010-12-14 05:45:43,2017-09-29 21:03:51,1751.875,2482,349.0,481.0,15.0,0,0,21.0,3.0,47.5,10.0,1317.875,1.00522694513289,817
0,0,2,1,1,2008-04-16 20:16:18,2012-05-17 13:06:11,204.0,1493,18.0,84.0,0.0,0,0,28.0,0.0,0.0,0.0,28.0,0.997535302103113,994
1,1,2,1,0,2012-02-14 03:52:07,2017-09-18 09:05:19,154.0,2044,34.0,25.0,0.0,0,0,1.0,0.0,10.0,3.0,140.0,1.29126262950745,974
0,0,2,1,2,2009-02-07 15:28:44,2017-08-05 14:04:41,145.0,3102,39.0,44.0,0.0,0,0,19.0,0.0,5.0,12.0,88.0,1.02771709743701,841
1,1,0,0,3,2009-09-20 05:33:27,2015-06-22 02:55:17,91.0,2102,15.0,21.0,1.0,0,0,25.0,4.0,0.0,7.0,40.0,0.411985187306913,297
2,2,1,1,2,2013-10-14 20:16:46,2013-12-05 06:55:49,157.0,53,12.0,71.0,0.0,0,0,7.0,0.0,0.0,26.0,120.0,1.02771709743701,841
1,1,0,2,3,2007-04-30 04:34:22,2015-10-17 16:08:01,260.0,3093,110.0,146.0,2.0,0,0,6.0,0.0,1.0,7.0,220.0,0.831953524648453,917
1,1,0,0,3,2011-07-01 05:30:37,2012-02-12 19:42:36,70.0,227,14.0,23.0,2.0,0,0,15.0,2.0,0.0,3.0,36.0,0.411985187306913,297
1,0,0,1,1,2004-02-15 17:58:20,2012-07-07 21:37:49,211.0,3066,42.0,96.0,17.0,0,0,13.0,3.0,12.0,4.0,178.0,0.997535302103113,994
0,0,2,3,2,2011-05-23 22:18:23,2017-09-14 00:24:21,1751.875,2307,349.0,505.875,33.5,0,0,20.0,20.0,47.5,53.5,1317.875,1.00522694513289,817
0,0,2,0,1,2008-05-28 12:16:40,2016-06-21 10:46:21,58.0,2947,47.0,48.0,0.0,0,0,8.0,1.0,0.0,0.0,48.0,1.05714931610548,1074
0,0,2,2,0,2007-09-08 00:09:55,2016-09-04 00:53:19,784.0,3285,106.0,135.0,33.5,0,0,1.0,0.0,0.0,0.0,748.0,1.20440316450483,647
1,0,0,1,0,2009-03-03 18:52:09,2017-09-22 00:58:28,171.0,3126,45.0,32.0,1.0,0,0,2.0,20.0,17.0,10.0,118.0,1.29126262950745,974
0,0,2,0,0,2011-09-28 17:28:12,2017-07-29 07:53:07,58.0,2132,15.0,12.0,2.0,0,0,1.0,0.0,3.0,0.0,54.0,1.86500803160946,1277
0,0,2,2,3,2005-07-18 15:49:50,2016-07-27 15:30:36,376.0,4028,59.0,195.0,11.0,0,0,47.0,7.0,2.0,13.0,288.0,0.831953524648453,917
1,0,0,1,3,2017-04-19 05:38:57,2017-09-30 07:34:15,108.0,165,39.0,23.0,6.0,0,0,5.0,1.0,0.0,2.0,98.0,0.594368207936839,493
1,0,0,1,0,2011-08-18 17:01:19,2013-05-19 15:38:57,158.0,641,40.0,36.0,0.0,0,0,109.0,0.0,0.0,5.0,36.0,1.29126262950745,974
0,0,2,0,1,2008-05-19 03:01:14,2016-09-11 17:06:30,75.0,3038,49.0,17.0,0.0,0,0,1.0,4.0,0.0,4.0,64.0,1.05714931610548,1074
0,0,2,3,3,2015-03-09 20:06:34,2017-07-18 14:52:07,1751.875,863,112.0,240.0,14.0,0,0,96.0,16.0,44.0,26.0,1317.875,1.48165413798567,1596
2,0,1,2,0,2007-12-20 10:50:37,2015-07-29 14:51:28,283.0,2779,97.0,152.0,0.0,0,0,3.0,9.0,7.0,12.0,247.0,1.20440316450483,647
0,0,2,3,0,2008-04-11 15:54:22,2017-09-30 12:49:53,1366.0,3460,349.0,505.875,33.5,0,0,2.0,20.0,11.0,21.0,1264.0,0.865617488080534,412
0,0,2,0,1,2005-06-11 07:20:29,2013-07-26 03:19:44,85.0,2968,32.0,45.0,7.0,0,0,3.0,2.0,10.0,0.0,70.0,1.05714931610548,1074
1,1,0,2,3,2004-08-08 18:42:29,2013-07-04 19:40:47,228.0,3253,36.0,203.0,13.0,0,0,5.0,1.0,2.0,0.0,218.0,0.831953524648453,917
0,0,2,0,0,2015-07-24 16:21:34,2015-07-26 16:28:54,56.0,3,2.0,15.0,0.0,0,0,7.0,4.0,18.0,10.0,17.0,1.86500803160946,1277
1,1,0,1,3,2009-11-14 02:16:22,2012-07-04 00:21:52,200.0,964,45.0,88.0,5.0,0,0,48.0,1.0,1.0,43.0,89.0,0.594368207936839,493
1,1,0,1,3,2011-02-24 23:27:37,2017-09-02 10:18:30,139.0,2383,21.0,35.0,2.0,0,0,1.0,5.0,6.0,30.0,97.0,0.594368207936839,493
1,0,0,1,3,2013-02-08 05:05:28,2015-09-22 11:34:52,128.0,957,22.0,59.0,1.0,0,0,45.0,0.0,2.0,48.0,27.0,0.594368207936839,493
1,1,2,3,1,2011-02-09 05:10:01,2017-09-05 21:04:28,1751.875,2401,349.0,323.0,8.0,0,0,3.0,1.0,1.0,0.0,695.0,0.661673179614133,477
0,0,2,3,2,2009-09-11 20:09:06,2017-03-28 13:58:29,1751.875,2756,349.0,478.0,28.0,0,0,109.0,20.0,47.5,53.5,1317.875,1.00522694513289,817
0,0,2,2,0,2013-04-22 17:28:59,2013-05-02 00:10:19,244.0,11,7.0,9.0,3.0,0,0,2.0,0.0,5.0,4.0,233.0,1.20440316450483,647
0,0,2,2,2,2010-09-10 23:42:20,2015-12-26 19:03:55,326.0,1934,48.0,154.0,1.0,0,0,1.0,0.0,3.0,0.0,279.0,0.915024129447388,978
0,0,2,3,2,2013-07-09 04:14:13,2017-09-21 14:28:57,1751.875,1536,293.0,505.875,33.5,0,0,41.0,20.0,0.0,53.5,1317.875,1.00522694513289,817
0,0,2,0,0,2017-04-14 22:52:31,2017-10-02 01:48:21,74.0,172,9.0,52.0,0.0,0,0,1.0,0.0,0.0,1.0,72.0,1.86500803160946,1277
0,0,2,2,3,2007-01-01 16:05:52,2014-06-10 13:14:38,232.0,2718,28.0,42.0,9.0,0,0,41.0,16.0,7.0,5.0,156.0,0.831953524648453,917
1,1,2,2,1,2008-01-20 22:01:15,2013-12-15 02:13:59,306.0,2157,66.0,222.0,0.0,0,0,13.0,7.0,6.0,53.5,164.0,0.982449108801872,752
1,0,0,0,2,2007-04-03 18:06:54,2017-01-13 15:18:33,92.0,3574,15.0,16.0,1.0,0,0,63.0,0.0,2.0,0.0,27.0,0.800528377424059,664
0,0,2,2,1,2004-01-27 12:36:18,2017-07-12 00:41:11,402.0,4916,147.0,126.0,30.0,0,0,15.0,3.0,35.0,12.0,328.0,0.982449108801872,752
1,1,0,1,0,2013-02-16 22:39:14,2016-12-17 05:27:08,121.0,1401,33.0,79.0,0.0,0,0,6.0,8.0,0.0,26.0,74.0,1.29126262950745,974
1,0,0,1,2,2008-08-11 04:08:11,2017-07-03 17:50:18,159.0,3249,46.0,38.0,14.0,0,0,12.0,0.0,7.0,0.0,136.0,1.02771709743701,841
0,0,2,1,2,2007-04-07 11:36:42,2016-10-19 21:23:21,188.0,3484,87.0,106.0,17.0,0,0,4.0,0.0,0.0,0.0,179.0,1.02771709743701,841
1,1,0,0,2,2013-08-03 22:23:53,2016-12-31 18:12:34,69.0,1247,19.0,16.0,0.0,0,0,2.0,8.0,0.0,9.0,50.0,0.800528377424059,664
1,1,2,3,1,2011-07-14 20:00:13,2017-09-10 23:34:38,1751.875,2251,349.0,505.875,33.5,0,0,4.0,2.0,47.5,10.0,1317.875,0.661673179614133,477
1,1,0,2,2,2006-11-13 03:42:20,2017-08-18 21:06:04,742.0,3932,202.0,221.0,30.0,0,0,15.0,4.0,13.0,43.0,657.0,0.915024129447388,978
0,0,2,3,3,2008-04-11 18:06:26,2017-07-29 23:14:02,1751.875,3397,286.0,505.875,33.5,0,0,56.0,15.0,47.5,53.5,1317.875,1.48165413798567,1596
1,1,2,2,2,2011-05-21 22:48:12,2017-09-20 13:42:45,535.0,2315,133.0,109.0,5.0,0,0,28.0,0.0,47.5,15.0,337.0,0.915024129447388,978
1,0,0,3,3,2005-10-10 15:24:48,2017-08-03 08:14:06,1172.0,4316,325.0,505.875,33.5,0,0,55.0,20.0,25.0,46.0,967.0,1.48165413798567,1596
0,0,2,2,2,2011-02-02 19:39:05,2017-05-05 19:47:25,466.0,2285,84.0,110.0,4.0,0,0,40.0,1.0,5.0,4.0,394.0,0.915024129447388,978
0,0,2,1,0,2008-12-18 14:16:04,2016-04-26 15:50:22,97.0,2687,22.0,19.0,1.0,0,0,10.0,0.0,1.0,0.0,85.0,1.29126262950745,974
1,1,0,1,0,2008-03-30 18:51:00,2015-10-08 05:02:07,144.0,2749,45.0,30.0,0.0,0,0,2.0,0.0,7.0,0.0,134.0,1.29126262950745,974
1,1,0,3,3,2005-04-09 03:30:32,2017-10-01 18:51:11,1751.875,4559,349.0,505.875,33.5,0,0,109.0,20.0,47.5,53.5,1317.875,1.48165413798567,1596
0,0,2,1,1,2008-09-28 01:21:00,2013-06-12 02:57:25,99.0,1719,32.0,44.0,10.0,0,0,11.0,1.0,5.0,2.0,77.0,0.997535302103113,994
1,1,2,2,0,2011-01-19 09:53:55,2017-06-26 15:42:24,398.0,2351,166.0,70.0,0.0,0,0,3.0,2.0,47.5,53.5,272.0,1.20440316450483,647
1,1,2,1,3,2010-11-16 17:48:12,2017-05-05 08:57:35,198.0,2363,64.0,75.0,5.0,0,0,78.0,18.0,9.0,8.0,64.0,0.594368207936839,493
1,1,2,3,0,2005-05-15 23:51:47,2017-09-12 14:06:54,1751.875,4504,349.0,505.875,33.5,0,0,55.0,20.0,47.5,53.5,1317.875,0.865617488080534,412
0,0,2,1,0,2015-05-30 16:36:47,2015-06-20 18:23:16,110.0,22,15.0,21.0,4.0,0,0,33.0,1.0,4.0,0.0,72.0,1.29126262950745,974
0,0,2,3,0,2014-02-12 19:40:10,2017-09-18 11:37:56,1751.875,1315,310.0,505.875,10.0,0,0,76.0,20.0,4.0,53.5,1317.875,0.865617488080534,412
1,1,2,0,1,2014-10-13 12:34:28,2014-10-17 01:17:11,53.0,5,2.0,1.0,0.0,0,0,53.0,0.0,0.0,0.0,0.0,1.05714931610548,1074
0,0,2,2,1,2006-01-02 20:35:02,2014-05-07 16:15:57,516.0,3048,45.0,82.0,11.0,1,0,12.0,9.0,47.5,45.0,319.0,0.982449108801872,752
1,1,0,2,2,2012-04-30 21:30:58,2016-08-03 06:40:59,441.0,1557,75.0,133.0,1.0,0,0,14.0,13.0,3.0,4.0,402.0,0.915024129447388,978
0,0,2,0,0,2014-01-03 15:27:36,2014-01-03 20:42:34,50.0,1,1.0,7.0,0.0,0,0,1.0,20.0,0.0,0.0,0.0,1.86500803160946,1277
1,1,0,2,3,2009-10-21 08:33:16,2016-06-12 07:19:29,824.0,2427,100.0,72.0,10.0,0,0,109.0,16.0,14.0,42.0,608.0,0.831953524648453,917
1,1,0,1,1,2006-05-29 15:22:13,2017-04-17 15:06:27,167.0,3977,57.0,81.0,2.0,0,0,17.0,4.0,5.0,4.0,129.0,0.997535302103113,994
1,1,0,0,3,2010-06-14 00:52:03,2015-05-28 00:46:40,87.0,1810,23.0,21.0,1.0,0,0,47.0,1.0,0.0,3.0,30.0,0.411985187306913,297
1,0,0,2,2,2003-01-01 05:54:58,2017-08-23 16:20:30,232.0,5349,109.0,137.0,20.0,0,0,22.0,4.0,11.0,26.0,163.0,0.915024129447388,978
1,1,0,3,1,2015-10-10 20:56:02,2017-10-02 01:48:45,1596.0,724,138.0,203.0,33.5,0,0,77.0,3.0,7.0,16.0,1227.0,0.661673179614133,477
0,0,2,1,2,2006-08-06 13:43:46,2017-01-20 12:55:07,102.0,3821,28.0,10.0,4.0,0,0,19.0,7.0,0.0,1.0,75.0,1.02771709743701,841
1,0,0,2,2,2008-02-12 21:27:13,2012-10-08 21:18:12,630.0,1701,115.0,169.0,24.0,0,0,6.0,0.0,47.5,16.0,510.0,0.915024129447388,978
0,0,2,2,0,2014-08-17 12:41:19,2015-02-18 22:13:05,308.0,186,26.0,42.0,18.0,0,0,1.0,4.0,1.0,1.0,284.0,1.20440316450483,647
1,1,2,3,3,2008-08-31 00:36:28,2015-09-23 04:58:12,1751.875,2580,349.0,505.875,33.5,0,0,109.0,20.0,47.5,53.5,1317.875,1.48165413798567,1596
0,0,2,0,3,2015-04-04 07:36:05,2016-04-25 07:17:32,86.0,388,15.0,21.0,7.0,0,0,10.0,0.0,0.0,0.0,43.0,0.411985187306913,297
1,0,0,2,2,2004-10-30 23:12:33,2012-06-24 16:29:35,456.0,2795,70.0,10.0,0.0,0,0,78.0,0.0,0.0,12.0,366.0,0.915024129447388,978
1,0,0,1,3,2009-05-15 01:18:19,2015-07-26 20:57:51,126.0,2264,45.0,21.0,1.0,0,0,36.0,0.0,0.0,0.0,37.0,0.594368207936839,493
1,1,0,0,2,2013-05-08 07:44:03,2013-12-04 02:48:27,50.0,211,9.0,15.0,1.0,0,0,14.0,2.0,3.0,1.0,29.0,0.800528377424059,664
1,1,0,2,1,2014-11-22 21:12:49,2017-10-01 21:07:32,785.0,1045,276.0,30.0,1.0,0,0,2.0,8.0,3.0,8.0,763.0,0.982449108801872,752
1,0,0,3,1,2006-05-13 20:16:16,2016-10-18 10:18:18,1751.875,3812,349.0,505.875,33.5,0,0,109.0,20.0,47.5,53.5,1317.875,0.661673179614133,477
1,1,0,1,3,2015-11-07 10:34:57,2017-06-11 13:02:51,117.0,583,10.0,16.0,6.0,0,1,63.0,3.0,2.0,2.0,43.0,0.594368207936839,493
2,2,1,1,3,2006-03-09 21:07:26,2017-09-15 04:13:11,128.0,4209,38.0,58.0,4.0,0,0,41.0,6.0,3.0,12.0,64.0,0.594368207936839,493
1,1,0,0,1,2007-09-12 22:30:51,2016-01-16 19:46:02,58.0,3049,18.0,20.0,0.0,0,0,4.0,0.0,3.0,0.0,50.0,1.05714931610548,1074
1,0,0,1,1,2013-03-24 22:09:21,2015-05-11 18:06:44,170.0,779,18.0,113.0,0.0,0,0,4.0,2.0,6.0,5.0,140.0,0.997535302103113,994
1,1,2,1,1,2013-06-08 17:06:04,2015-12-28 20:16:38,162.0,934,22.0,56.0,3.0,0,0,9.0,9.0,2.0,20.0,121.0,0.997535302103113,994
2,2,2,0,1,2013-12-06 02:54:16,2017-10-01 00:02:57,77.0,1396,16.0,15.0,1.0,0,1,4.0,0.0,0.0,8.0,63.0,1.05714931610548,1074
0,0,2,3,0,2010-03-28 15:05:21,2017-05-20 10:34:57,1415.0,2611,349.0,505.875,33.5,0,0,7.0,20.0,36.0,44.0,1176.0,0.865617488080534,412
1,1,2,3,3,2006-04-24 20:33:07,2017-09-13 02:33:52,900.0,4161,298.0,249.0,14.0,0,0,57.0,20.0,47.5,53.5,493.0,1.48165413798567,1596
2,2,1,1,3,2011-07-31 13:41:37,2017-03-02 16:33:09,144.0,2042,47.0,65.0,6.0,0,0,33.0,0.0,0.0,7.0,104.0,0.594368207936839,493
0,0,2,3,0,2008-08-08 10:01:01,2017-09-25 17:20:14,1751.875,3336,349.0,505.875,33.5,1,0,109.0,20.0,47.5,53.5,1317.875,0.865617488080534,412
1,0,0,1,2,2010-03-18 01:19:59,2013-04-11 22:06:28,145.0,1121,19.0,79.0,1.0,0,0,3.0,0.0,7.0,16.0,118.0,1.02771709743701,841
1,0,0,0,0,2007-02-02 15:01:14,2012-04-17 13:08:10,75.0,1902,20.0,19.0,2.0,0,0,2.0,0.0,0.0,1.0,72.0,1.86500803160946,1277
0,0,2,2,0,2005-11-16 22:09:03,2013-05-29 02:03:16,316.0,2752,206.0,193.0,0.0,0,0,2.0,0.0,3.0,6.0,271.0,1.20440316450483,647
1,0,0,0,3,2009-09-22 19:30:07,2012-04-29 10:26:19,93.0,951,25.0,15.0,2.0,0,0,69.0,0.0,1.0,2.0,11.0,0.411985187306913,297
1,1,0,2,3,2016-10-28 20:47:58,2017-08-09 19:21:28,570.0,286,89.0,135.0,16.0,0,0,78.0,4.0,2.0,15.0,462.0,0.831953524648453,917
0,0,2,1,2,2008-11-29 22:15:04,2016-11-13 09:37:19,201.0,2907,50.0,59.0,5.0,0,0,55.0,4.0,11.0,11.0,81.0,1.02771709743701,841
2,0,1,0,1,2016-10-20 09:43:58,2017-05-20 10:19:50,70.0,213,14.0,10.0,0.0,0,0,51.0,1.0,0.0,3.0,13.0,1.05714931610548,1074
0,0,2,0,0,2006-05-26 22:24:24,2017-05-29 22:46:05,50.0,4022,7.0,13.0,0.0,0,0,1.0,11.0,7.0,2.0,29.0,1.86500803160946,1277
0,0,2,0,2,2006-06-07 13:29:23,2016-11-24 13:39:02,89.0,3824,20.0,13.0,0.0,0,0,25.0,1.0,5.0,0.0,58.0,0.800528377424059,664
0,0,2,1,3,2006-09-12 19:38:16,2014-08-25 03:28:13,95.0,2905,26.0,38.0,1.0,0,0,16.0,0.0,2.0,0.0,76.0,0.594368207936839,493
1,1,2,1,0,2010-06-13 20:32:03,2017-07-25 13:19:57,107.0,2600,82.0,96.0,0.0,0,0,4.0,3.0,0.0,1.0,58.0,1.29126262950745,974
1,0,0,0,2,2008-11-07 19:15:48,2016-10-20 19:39:45,61.0,2905,11.0,12.0,3.0,0,0,5.0,0.0,0.0,0.0,56.0,0.800528377424059,664
1,0,0,1,0,2014-08-20 19:51:55,2014-11-20 21:29:23,193.0,93,23.0,18.0,2.0,0,0,109.0,0.0,2.0,0.0,74.0,1.29126262950745,974
